date,open,high,low,close,volume
2023-03-20 00:00:00+05:30,57773.55,57829.23,57084.91,57628.95,0
2023-03-21 00:00:00+05:30,57963.27,58133.33,57730.09,58074.68,0
2023-03-22 00:00:00+05:30,58245.26,58418.78,58063.5,58214.59,0
2023-03-23 00:00:00+05:30,58061.41,58396.17,57838.85,57925.28,0
2023-03-24 00:00:00+05:30,57890.66,58066.4,57422.98,57527.1,0
2023-03-27 00:00:00+05:30,57566.9,58019.55,57415.02,57653.86,0
2023-03-28 00:00:00+05:30,57751.5,57949.45,57494.91,57613.72,0
2023-03-29 00:00:00+05:30,57572.08,58124.2,57524.32,57960.09,0
2023-03-31 00:00:00+05:30,58273.86,59068.47,58273.86,58991.52,0
2023-04-03 00:00:00+05:30,59131.16,59204.82,58793.08,59106.44,0
2023-04-05 00:00:00+05:30,59094.71,59747.12,59094.4,59689.31,0
2023-04-06 00:00:00+05:30,59627.01,59950.06,59520.12,59832.97,0
2023-04-10 00:00:00+05:30,59858.98,60109.11,59766.23,59846.51,0
2023-04-11 00:00:00+05:30,60028.6,60267.68,59919.88,60157.72,0
2023-04-12 00:00:00+05:30,60180.2,60437.64,60094.69,60392.77,0
2023-04-13 00:00:00+05:30,60364.41,60486.91,60081.43,60431.0,0
2023-04-17 00:00:00+05:30,60385.9,60407.86,59442.47,59910.75,0
2023-04-18 00:00:00+05:30,59991.26,60113.47,59579.3,59727.01,0
2023-04-19 00:00:00+05:30,59745.89,59745.89,59452.72,59567.8,0
2023-04-20 00:00:00+05:30,59586.61,59836.79,59489.98,59632.35,0
2023-04-21 00:00:00+05:30,59538.79,59781.36,59412.81,59655.06,0
2023-04-24 00:00:00+05:30,59873.71,60101.64,59620.11,60056.1,0
2023-04-25 00:00:00+05:30,60202.77,60268.67,59967.02,60130.71,0
2023-04-26 00:00:00+05:30,60087.98,60362.79,59954.91,60300.58,0
2023-04-27 00:00:00+05:30,60315.56,60698.31,60271.49,60649.38,0
2023-04-28 00:00:00+05:30,60721.61,61209.46,60507.83,61112.44,0
2023-05-02 00:00:00+05:30,61301.61,61486.24,61255.0,61354.71,0
2023-05-03 00:00:00+05:30,61274.96,61274.96,61024.44,61193.3,0
2023-05-04 00:00:00+05:30,61258.13,61797.91,61119.56,61749.25,0
2023-05-05 00:00:00+05:30,61163.1,61585.5,61002.17,61054.29,0
2023-05-08 00:00:00+05:30,61166.09,61854.19,61166.09,61764.25,0
2023-05-09 00:00:00+05:30,61879.68,62027.51,61654.94,61761.33,0
2023-05-10 00:00:00+05:30,61843.36,61974.35,61572.93,61940.2,0
2023-05-11 00:00:00+05:30,62158.1,62168.22,61823.07,61904.52,0
2023-05-12 00:00:00+05:30,61857.69,62110.93,61578.15,62027.9,0
2023-05-15 00:00:00+05:30,62157.1,62562.67,61950.3,62345.71,0
2023-05-16 00:00:00+05:30,62474.11,62475.95,61847.41,61932.47,0
2023-05-17 00:00:00+05:30,61932.32,61979.94,61340.1,61560.64,0
2023-05-18 00:00:00+05:30,61937.86,61955.9,61349.34,61431.74,0
2023-05-19 00:00:00+05:30,61556.25,61784.61,61251.7,61729.68,0
2023-05-22 00:00:00+05:30,61579.78,62044.46,61579.78,61963.68,0
2023-05-23 00:00:00+05:30,62098.16,62245.19,61914.4,61981.79,0
2023-05-24 00:00:00+05:30,61834.28,62154.14,61708.1,61773.78,0
2023-05-25 00:00:00+05:30,61706.13,61934.01,61484.66,61872.62,0
